"('au-delà', 'ADV')",0
"('au-dessus', 'ADV')",0
"('auprès', 'ADV')",0
"('autant', 'PRON')",0
"('autour', 'ADV')",0
"('beaucoup', 'PRON')",0
"('contrairement', 'ADV')",0
"('hors', 'ADV')",0
"('loin', 'ADV')",0
"('lors', 'ADV')",0
"('moins', 'PRON')",0
"('peu', 'PRON')",0
"('plus', 'PRON')",0
"('près', 'ADV')",0
"('près', 'PRON')",0
"('vis-à-vis', 'ADV')",0
"('absolument', 'ADV')",1
"('actuellement', 'ADV')",1
"('afin', 'ADV')",1
"('ailleurs', 'ADV')",1
"('ainsi', 'ADV')",1
"('alors', 'ADV')",1
"('après', 'ADV')",1
"('assez', 'ADV')",1
"(""aujourd'hui"", 'ADV')",1
"('auparavant', 'ADV')",1
"('aussi', 'ADV')",1
"('autant', 'ADV')",1
"('autrement', 'ADV')",1
"('avant', 'ADV')",1
"('beaucoup', 'ADV')",1
"('bien', 'ADV')",1
"('bientôt', 'ADV')",1
"('cependant', 'ADV')",1
"('certes', 'ADV')",1
"('clairement', 'ADV')",1
"('comment', 'ADV')",1
"('complètement', 'ADV')",1
"('davantage', 'ADV')",1
"('depuis', 'ADV')",1
"('directement', 'ADV')",1
"('donc', 'ADV')",1
"('définitivement', 'ADV')",1
"('déjà', 'ADV')",1
"('désormais', 'ADV')",1
"('encore', 'ADV')",1
"('enfin', 'ADV')",1
"('ensemble', 'ADV')",1
"('ensuite', 'ADV')",1
"('entièrement', 'ADV')",1
"('environ', 'ADV')",1
"('essentiellement', 'ADV')",1
"('extrêmement', 'ADV')",1
"('facilement', 'ADV')",1
"('finalement', 'ADV')",1
"('fort', 'ADV')",1
"('fortement', 'ADV')",1
"('généralement', 'ADV')",1
"('hier', 'ADV')",1
"('ici', 'ADV')",1
"('immédiatement', 'ADV')",1
"('initialement', 'ADV')",1
"('jamais', 'ADV')",1
"('juste', 'ADV')",1
"('largement', 'ADV')",1
"('longtemps', 'ADV')",1
"('là', 'ADV')",1
"('légèrement', 'ADV')",1
"('maintenant', 'ADV')",1
"('mal', 'ADV')",1
"('malheureusement', 'ADV')",1
"('mieux', 'ADV')",1
"('moins', 'ADV')",1
"('même', 'ADV')",1
"('naturellement', 'ADV')",1
"('ne', 'ADV')",1
"('non', 'ADV')",1
"('notamment', 'ADV')",1
"('néanmoins', 'ADV')",1
"('officiellement', 'ADV')",1
"('parfaitement', 'ADV')",1
"('parfois', 'ADV')",1
"('particulièrement', 'ADV')",1
"('partiellement', 'ADV')",1
"('partout', 'ADV')",1
"('pas', 'ADV')",1
"('peu', 'ADV')",1
"('peut-être', 'ADV')",1
"('plus', 'ADV')",1
"('plutôt', 'ADV')",1
"('pourquoi', 'ADV')",1
"('pourtant', 'ADV')",1
"('pratiquement', 'ADV')",1
"('presque', 'ADV')",1
"('principalement', 'ADV')",1
"('probablement', 'ADV')",1
"('progressivement', 'ADV')",1
"('que', 'ADV')",1
"('rapidement', 'ADV')",1
"('rarement', 'ADV')",1
"('relativement', 'ADV')",1
"('respectivement', 'ADV')",1
"('récemment', 'ADV')",1
"('réellement', 'ADV')",1
"('régulièrement', 'ADV')",1
"('seulement', 'ADV')",1
"('si', 'ADV')",1
"('simplement', 'ADV')",1
"('soit', 'ADV')",1
"('souvent', 'ADV')",1
"('spécialement', 'ADV')",1
"('surtout', 'ADV')",1
"('tant', 'ADV')",1
"('tard', 'ADV')",1
"('totalement', 'ADV')",1
"('toujours', 'ADV')",1
"('tout', 'ADV')",1
"('toutefois', 'ADV')",1
"('traditionnellement', 'ADV')",1
"('trop', 'ADV')",1
"('très', 'ADV')",1
"('tôt', 'ADV')",1
"('uniquement', 'ADV')",1
"('vite', 'ADV')",1
"('vivement', 'ADV')",1
"('vraiment', 'ADV')",1
"('véritablement', 'ADV')",1
"('également', 'ADV')",1
"('éventuellement', 'ADV')",1
